Song_Name,Artist,Duration,Duration_Seconds,Genres,Genre
Pass First,elibanss,2:29,149,Underground,Other
Non-Stop,Hamilton Cast,6:25,385,Musical Theatre / Broadway,Other
About You,The 1975,5:26,326,Indie / Pop,Indie
Lovely Day,Bill Withers,4:15,255,R&B / Soul,R&B
Midsummer Madness,88rising & Higher Brothers,4:40,280,Alternative R&B / Chill Trap / Lo-fi,R&B
???? (Yue Ming Dong Fang),Tianyi Luo,4:03,243,Pop,Pop
u say,Fangzhao Zhang,2:37,157,Hip-Hop,HipHop
The Flowers in the South City Have Bloomed,San Mu Di,4:31,271,Instrumental / New Age,Other
aeao,Dynamic Duo,5:18,318,Hip-hop,HipHop
Presence,53 Thieves,4:03,243,Electronic,Other
Failure at Love,Jay Chou,4:45,285,Pop,Pop
Last Night on Earth,Green Day,3:56,236,Ballad / Pop-Rock / Alternative Rock,Rock
Breeze,Berg & Skazi,5:37,337,Trance,Other
Ojitos Lindos,Bad Bunny & Bomba Estéreo,4:18,258,Latin / Reggaeton / Alternative Latin,Other
STARGAZING,Travis Scott,4:30,270,Hip-Hop / Trap,HipHop
Moutanin,Dead Calm,3:11,191,Indie,Indie
Blood Type,Victor Tsoi,4:46,286,Rock,Rock
Sienna,The Marías,3:44,224,Dream Pop / Indie Pop / Psychedelic Soul,Indie
No Surprises,Radiohead,3:47,227,British Rock,Rock
Boku ga Shinou to Omotta no wa,Mika Nakashima,6:22,382,J-Pop,Pop
Always,Daniel Caesar,3:44,224,R&B,R&B
Lu Xiao Yu,Jay Chou,4:31,271,Instrumental / Piano / Soundtrack,Other
DnD,J4Y,3:10,190,Electronic / Hip-Hop,Other
Why Do We Fall?,Hans Zimmer,2:03,123,Soundtrack / Cinematic Classical,Classical
BB88,Khalil Fong,3:18,198,R&B / Funk / Soul,R&B
Blue Boy,Mac DeMarco,2:06,126,Alternative / Indie,Indie
Ojitos Lindos,Bad Bunny & Bomba Estéreo,4:18,258,Reggaeton,Other
